,STATE,YEAR,gdp_per_capita
495,Illinois,2000,49145
496,Indiana,2000,41205
497,Iowa,2000,39747
498,Kansas,2000,39923
499,Kentucky,2000,35513
500,Louisiana,2000,40679
501,Maine,2000,36503
502,Maryland,2000,45619
503,Massachusetts,2000,54736
504,Michigan,2000,42225
505,Minnesota,2000,47577
506,Mississippi,2000,29166
507,Missouri,2000,41920
508,Montana,2000,31899
509,Nebraska,2000,41761
510,Nevada,2000,49607
511,New Hampshire,2000,44460
512,New Jersey,2000,53701
513,New Mexico,2000,37773
514,New York,2000,53827
515,North Carolina,2000,42193
516,North Dakota,2000,35067
517,Ohio,2000,42678
518,Oklahoma,2000,34015
519,Oregon,2000,38193
520,Pennsylvania,2000,41857
521,Rhode Island,2000,41395
522,South Carolina,2000,36070
523,South Dakota,2000,35601
524,Tennessee,2000,38892
525,Texas,2000,44432
526,Utah,2000,38695
527,Vermont,2000,36622
528,Virginia,2000,47313
529,Washington,2000,50063
530,West Virginia,2000,32144
531,Wisconsin,2000,41911
532,Wyoming,2000,50814
533,New England,2000,51981
534,Mideast,2000,51004
535,Great Lakes,2000,44071
536,Plains,2000,42243
537,Southeast,2000,39452
538,Southwest,2000,41996
539,Rocky Mountain,2000,44134
540,Far West,2000,47786
541,United States,2001,44689
542,Alabama,2001,33312
543,Alaska,2001,58547
544,Arizona,2001,39170
545,Arkansas,2001,31685
546,California,2001,47216
547,Colorado,2001,51113
548,Connecticut,2001,61872
549,Delaware,2001,71155
550,District of Columbia,2001,144598
551,Florida,2001,39445
552,Georgia,2001,45181
553,Hawaii,2001,43778
554,Idaho,2001,33390
555,Illinois,2001,48849
556,Indiana,2001,40138
557,Iowa,2001,38988
558,Kansas,2001,39745
559,Kentucky,2001,35497
560,Louisiana,2001,41302
561,Maine,2001,36995
562,Maryland,2001,46792
563,Massachusetts,2001,55114
564,Michigan,2001,40883
565,Minnesota,2001,47177
566,Mississippi,2001,28856
567,Missouri,2001,41346
568,Montana,2001,32272
569,Nebraska,2001,42227
570,Nevada,2001,48733
571,New Hampshire,2001,44540
572,New Jersey,2001,54000
573,New Mexico,2001,37915
574,New York,2001,55375
575,North Carolina,2001,42388
576,North Dakota,2001,35939
577,Ohio,2001,41941
578,Oklahoma,2001,35162
579,Oregon,2001,37161
580,Pennsylvania,2001,42458
581,Rhode Island,2001,41989
582,South Carolina,2001,35902
583,South Dakota,2001,36327
584,Tennessee,2001,38631
585,Texas,2001,44784
586,Utah,2001,38849
587,Vermont,2001,37618
588,Virginia,2001,48194
589,Washington,2001,48408
590,West Virginia,2001,32263
591,Wisconsin,2001,42078
592,Wyoming,2001,53656
593,New England,2001,52414
594,Mideast,2001,52104
595,Great Lakes,2001,43379
596,Plains,2001,41945
597,Southeast,2001,39682
598,Southwest,2001,42373
599,Rocky Mountain,2001,43966
600,Far West,2001,46744
601,United States,2002,45068
602,Alabama,2002,34068
603,Alaska,2002,60101
604,Arizona,2002,39323
605,Arkansas,2002,32514
606,California,2002,47880
607,Colorado,2002,50870
608,Connecticut,2002,61233
609,Delaware,2002,67853
610,District of Columbia,2002,148686
611,Florida,2002,40254
612,Georgia,2002,44771
613,Hawaii,2002,44658
614,Idaho,2002,33638
615,Illinois,2002,48918
616,Indiana,2002,40969
617,Iowa,2002,40072
618,Kansas,2002,40169
619,Kentucky,2002,36161
620,Louisiana,2002,41756
